Category,Ward 1,Ward 2,Ward 3,Ward 4,Ward 5,Ward 6,Ward 7,Ward 8,Ward 9,Ward 10,Ward 11,Ward 12,Ward 13,Ward 14,Ward 15,Ward 16,Ward 17,Ward 18,Ward 19,Ward 20,Ward 21,Ward 22,Ward 23,Ward 24,Ward 25,Ward 26,Ward 27,Ward 28,Ward 29,Ward 30,Ward 31,Ward 32,Ward 33,Ward 34,Ward 35,Ward 36,Ward 37,Ward 38,Ward 39,Ward 40,Ward 41,Ward 42,Ward 43,Ward 44
0 to 4 years,2035,1655,1160,1240,1565,1450,1715,1820,1270,1785,1880,1750,1605,1415,1780,1670,1240,975,1025,1105,1155,1305,1955,990,1165,2410,1130,1465,1240,1600,1670,1925,1525,1635,1965,1510,1800,1850,1190,1745,1530,2420,1735,1335
5 to 9 years,2040,1690,1285,1325,1415,1095,1610,1690,1245,1415,1710,1570,1345,1165,1650,1780,1175,815,725,715,1045,1115,1475,1040,1505,2145,835,1150,1095,1150,1420,1630,1440,1465,1720,1500,1825,1805,1150,1545,1435,2540,1700,1455
10 to 14 years,2180,1675,1395,1470,1505,1105,1730,1505,1350,1605,1770,1655,1185,1065,1835,1700,1230,800,700,730,1005,1030,1540,1315,1690,1980,765,1145,965,1080,1335,1430,1455,1700,1780,1630,1895,1760,1350,1490,1725,2770,1720,1785
15 to 19 years,2295,1945,1735,1635,1635,1335,1725,1840,1460,1875,2010,1690,1260,1100,1810,1795,1520,920,775,1270,1145,1115,2140,1770,1840,1925,1500,1300,1015,1220,1325,1405,1655,1840,1890,1825,2015,1950,1750,1800,2210,2885,1915,2145
15 years,435,355,340,320,335,225,365,325,295,370,405,350,270,210,385,350,300,175,125,145,205,215,350,340,355,400,165,240,210,235,260,265,300,340,395,350,400,365,310,355,430,610,375,420
16 years,475,430,350,325,290,250,365,365,310,350,380,345,230,215,365,395,270,165,140,190,220,195,405,320,360,370,200,225,190,245,295,300,310,380,385,365,415,370,345,380,455,635,425,420
17 years,435,370,355,315,300,275,355,350,285,385,425,330,220,215,345,360,320,190,165,175,240,215,375,355,370,380,225,245,195,245,235,280,340,355,345,345,380,350,335,355,425,585,355,435
18 years,465,400,330,335,345,260,320,370,280,420,405,350,280,240,360,335,305,195,150,270,215,240,495,355,390,390,360,255,200,220,265,275,335,365,385,390,420,450,360,350,490,545,385,440
19 years,485,400,365,340,360,315,315,435,290,350,390,320,265,220,355,350,320,200,195,480,260,240,515,390,365,385,545,345,215,275,270,285,370,395,375,385,400,425,395,365,415,505,365,430
20 to 24 years,2220,1910,1565,1700,1710,1790,1860,2505,1480,1980,2165,1835,1500,1765,1810,1515,1735,1730,2455,5015,1720,2155,3715,2305,1905,2030,4835,2470,1230,1585,1565,1510,1895,1895,1980,1665,2045,2530,1975,1925,2420,3020,1930,2175
