Category,Ward 1,Ward 2,Ward 3,Ward 4,Ward 5,Ward 6,Ward 7,Ward 8,Ward 9,Ward 10,Ward 11,Ward 12,Ward 13,Ward 14,Ward 15,Ward 16,Ward 17,Ward 18,Ward 19,Ward 20,Ward 21,Ward 22,Ward 23,Ward 24,Ward 25,Ward 26,Ward 27,Ward 28,Ward 29,Ward 30,Ward 31,Ward 32,Ward 33,Ward 34,Ward 35,Ward 36,Ward 37,Ward 38,Ward 39,Ward 40,Ward 41,Ward 42,Ward 43,Ward 44
0 to 4 years,2130,1765,1265,1300,1695,1480,1830,1855,1390,1810,1975,1825,1620,1505,1805,1760,1435,1085,1105,1100,1300,1395,2070,1090,1310,2460,1140,1560,1365,1635,1735,1875,1625,1800,2090,1520,1990,2020,1215,1760,1550,2620,1845,1370
5 to 9 years,2185,1790,1270,1470,1575,1160,1695,1630,1280,1620,1790,1620,1320,1220,1670,1890,1220,865,755,740,1130,1145,1570,1210,1585,2315,785,1145,1115,1160,1550,1600,1505,1590,1830,1505,1905,1830,1170,1590,1555,2560,1750,1530
10 to 14 years,2295,1965,1580,1590,1570,1150,1790,1590,1350,1780,1820,1720,1225,1095,1825,1775,1315,840,665,735,1020,1055,1660,1430,1820,2165,765,1140,970,1205,1340,1490,1490,1745,1900,1635,1900,2000,1415,1640,1770,2775,1850,1925
15 to 19 years,2410,2090,1745,1740,1750,1380,1880,1785,1485,2020,2130,1790,1220,1035,1845,1800,1580,1035,790,1185,1180,1200,2235,1935,2115,2005,1320,1260,1040,1365,1475,1445,1745,1915,2100,1880,2225,2290,1855,1890,2300,3025,2060,2275
15 years,515,430,345,325,340,245,385,355,320,365,425,360,265,180,370,390,320,195,135,155,230,220,385,335,450,400,165,240,230,270,290,290,340,365,460,335,435,395,325,355,445,625,390,460
16 years,475,400,335,380,355,265,390,335,305,465,410,345,250,205,415,375,290,210,145,150,225,255,430,375,410,425,170,215,195,255,290,300,345,380,405,400,465,495,390,395,465,640,425,445
17 years,470,390,355,340,365,280,370,345,300,390,445,375,230,200,350,340,300,185,155,180,235,235,430,375,460,400,185,245,205,290,290,270,340,390,415,405,485,455,345,405,480,575,425,490
18 years,460,465,360,340,355,275,385,370,305,405,455,355,240,225,350,350,345,210,150,275,225,245,485,410,425,395,310,285,200,270,295,280,360,400,395,415,400,440,385,390,470,605,410,455
19 years,490,400,345,355,340,315,355,380,255,400,390,350,235,220,365,350,325,235,205,425,260,235,505,440,375,390,485,275,220,275,310,315,365,375,435,335,430,500,415,345,440,575,410,435
20 to 24 years,2460,1975,1680,1745,1805,1675,1800,2505,1415,2045,2135,1680,1320,1535,1890,1495,1730,1570,2170,4460,1610,1725,3675,2245,1865,1900,4055,2590,1165,1560,1510,1460,2010,1815,1970,1770,2180,2695,2075,1995,2595,3020,1890,2275
25 to 29 years,2115,1785,1325,1465,1990,1970,1635,2150,1440,2060,2130,1750,1940,2535,1875,1255,2145,2490,4360,7005,1825,3485,4270,2325,1640,1995,5525,4060,1435,1920,1660,1535,1985,1805,1980,1445,1845,2455,1935,1965,2435,2850,1605,1905
