Category,Ward 1,Ward 2,Ward 3,Ward 4,Ward 5,Ward 6,Ward 7,Ward 8,Ward 9,Ward 10,Ward 11,Ward 12,Ward 13,Ward 14,Ward 15,Ward 16,Ward 17,Ward 18,Ward 19,Ward 20,Ward 21,Ward 22,Ward 23,Ward 24,Ward 25,Ward 26,Ward 27,Ward 28,Ward 29,Ward 30,Ward 31,Ward 32,Ward 33,Ward 34,Ward 35,Ward 36,Ward 37,Ward 38,Ward 39,Ward 40,Ward 41,Ward 42,Ward 43,Ward 44
0 to 4 years,1.0466830467,1.0664652568,1.0905172414,1.0483870968,1.0830670927,1.0206896552,1.0670553936,1.0192307692,1.094488189,1.0140056022,1.0505319149,1.0428571429,1.0093457944,1.0636042403,1.0140449438,1.0538922156,1.1572580645,1.1128205128,1.0780487805,0.9954751131,1.1255411255,1.0689655172,1.0588235294,1.101010101,1.1244635193,1.020746888,1.0088495575,1.0648464164,1.1008064516,1.021875,1.0389221557,0.974025974,1.0655737705,1.1009174312,1.0636132316,1.0066225166,1.1055555556,1.0918918919,1.0210084034,1.0085959885,1.0130718954,1.0826446281,1.0634005764,1.0262172285
5 to 9 years,1.0710784314,1.0591715976,0.9883268482,1.1094339623,1.1130742049,1.0593607306,1.0527950311,0.9644970414,1.0281124498,1.1448763251,1.0467836257,1.0318471338,0.9814126394,1.0472103004,1.0121212121,1.0617977528,1.0382978723,1.0613496933,1.0413793103,1.034965035,1.0813397129,1.0269058296,1.0644067797,1.1634615385,1.0531561462,1.0792540793,0.9401197605,0.9956521739,1.0182648402,1.0086956522,1.0915492958,0.981595092,1.0451388889,1.0853242321,1.0639534884,1.0033333333,1.0438356164,1.0138504155,1.0173913043,1.0291262136,1.0836236934,1.0078740157,1.0294117647,1.0515463918
10 to 14 years,1.0527522936,1.1731343284,1.1326164875,1.0816326531,1.0431893688,1.0407239819,1.0346820809,1.0564784053,1,1.1090342679,1.0282485876,1.0392749245,1.0337552743,1.0281690141,0.9945504087,1.0441176471,1.0691056911,1.05,0.95,1.0068493151,1.0149253731,1.0242718447,1.0779220779,1.0874524715,1.0769230769,1.0934343434,1,0.9956331878,1.0051813472,1.1157407407,1.0037453184,1.041958042,1.0240549828,1.0264705882,1.0674157303,1.0030674847,1.0026385224,1.1363636364,1.0481481481,1.1006711409,1.0260869565,1.0018050542,1.0755813953,1.0784313725
15 to 19 years,1.0501089325,1.0745501285,1.0057636888,1.0642201835,1.0703363914,1.0337078652,1.0898550725,0.9701086957,1.0171232877,1.0773333333,1.0597014925,1.0591715976,0.9682539683,0.9409090909,1.0193370166,1.0027855153,1.0394736842,1.125,1.0193548387,0.9330708661,1.0305676856,1.0762331839,1.0443925234,1.093220339,1.1494565217,1.0415584416,0.88,0.9692307692,1.0246305419,1.118852459,1.1132075472,1.0284697509,1.0543806647,1.0407608696,1.1111111111,1.0301369863,1.1042183623,1.1743589744,1.06,1.05,1.0407239819,1.0485268631,1.0757180157,1.0606060606
20 to 24 years,1.1081081081,1.0340314136,1.0734824281,1.0264705882,1.0555555556,0.9357541899,0.9677419355,1,0.9560810811,1.0328282828,0.9861431871,0.9155313351,0.88,0.8696883853,1.044198895,0.9867986799,0.9971181556,0.9075144509,0.883910387,0.889332004,0.9360465116,0.8004640371,0.9892328398,0.9739696312,0.9790026247,0.9359605911,0.8386763185,1.048582996,0.9471544715,0.9842271293,0.96485623,0.9668874172,1.0606860158,0.9577836412,0.9949494949,1.0630630631,1.0660146699,1.0652173913,1.0506329114,1.0363636364,1.0723140496,1,0.9792746114,1.0459770115
25 to 29 years,0.911637931,0.9015151515,0.9742647059,0.9213836478,0.9342723005,0.899543379,0.8363171355,0.9168443497,0.9028213166,0.9648711944,0.8856548857,0.8474576271,0.8344086022,0.9021352313,0.8503401361,0.8256578947,1.0337349398,0.9137614679,0.8943589744,0.9615648593,0.8352402746,0.8367346939,0.9027484144,0.9748427673,0.9010989011,0.83125,0.9710017575,1.0074441687,0.8858024691,0.9208633094,0.8924731183,0.8599439776,0.9520383693,0.8891625616,0.8336842105,0.9506578947,0.9044117647,0.9552529183,0.9532019704,0.9225352113,0.9720558882,0.9677419355,0.8675675676,1.035326087
30 to 34 years,0.825607064,0.8294573643,0.8875968992,0.8827586207,0.9012345679,0.9578313253,0.8812664908,0.8675324675,0.8028985507,0.777992278,0.8731182796,0.7951219512,0.8508946322,0.9744027304,0.820083682,0.7372654155,1,1.016563147,1.0388349515,1.1187925998,0.8117647059,0.8967921897,0.9259259259,0.9015151515,0.8644578313,0.7920792079,1.207115629,1.0865921788,0.8696741855,0.9083665339,0.8620689655,0.866807611,0.8133640553,0.8287671233,0.8452138493,0.8030769231,0.845410628,0.8361904762,0.9553264605,0.8513189448,0.9663212435,0.829443447,0.7899159664,0.92
35 to 39 years,0.8730853392,0.8954423592,0.8417508418,0.8484848485,0.9345603272,0.9665271967,0.8412698413,0.8281690141,0.8297213622,0.7976424361,0.8558758315,0.8010335917,0.968487395,1.0193423598,0.7633744856,0.8083140878,0.915,1.0328282828,1.1481481481,1.2147540984,0.8453608247,0.9140350877,0.9630681818,0.8610421836,0.7729591837,0.9651639344,1.3391136802,1.1081560284,0.956185567,0.9980392157,0.8984547461,0.9136690647,0.8480492813,0.8680089485,0.8855932203,0.8638888889,0.8800904977,0.9117043121,0.8208092486,0.8957871397,0.8568181818,0.8285714286,0.8351648352,0.8459302326
40 to 44 years,0.9570815451,0.930952381,0.8337468983,0.9035532995,0.9253438114,1.013215859,0.9102564103,0.9577464789,0.8971428571,0.8286252354,0.89375,0.8531468531,0.9692982456,1.140625,0.8089430894,0.8128898129,0.9129353234,1.0498533724,1.0707762557,1.163310962,0.8637532134,0.9020715631,0.9024745269,0.8172690763,0.8256513026,0.9844660194,1.4307692308,1.2644628099,0.9948051948,1.0216450216,0.9955555556,0.9330922242,0.9215291751,0.8588235294,1.0309278351,0.8691588785,0.899795501,0.8924302789,0.8228699552,0.909650924,0.8323586745,0.8682432432,0.8467153285,0.8345323741
45 to 49 years,0.9481641469,0.9749430524,0.9537444934,0.9084821429,0.9232142857,0.9906367041,1.0512820513,0.832460733,0.9779614325,0.8234234234,0.965648855,0.9610983982,0.9121621622,1.0462287105,0.8003913894,0.8987068966,1.0626566416,1.1298701299,1.0899182561,1.0556844548,0.9010695187,0.8639053254,0.8526170799,0.8974358974,0.8958333333,1.0062370062,1.5727069351,1.2936170213,0.9644670051,1.0668103448,0.9850746269,0.9512635379,0.9703389831,0.9060150376,0.9744525547,0.9509202454,0.9660107335,0.9287090559,0.9474789916,0.9026217228,0.9030694669,0.8829787234,0.9058823529,0.8563327032
