GEO_ID,CREATE_ID,NAME,SCODE_NAME,LCODE_NAME,TYPE_DESC,TYPE_CODE,OBJECTID,xcoord,ycoord
14630026,63519,Scarborough-Rouge River (41),41,EA41,Ward,CITW,1,-79.2691746226,43.8079074965
14630028,63519,Scarborough East (44),44,EA44,Ward,CITW,2,-79.1600427447,43.7860294808
14630024,63519,Scarborough-Rouge River (42),42,EA42,Ward,CITW,3,-79.2053874602,43.8208871537
14630027,63519,Scarborough-Agincourt (39),39,EA39,Ward,CITW,4,-79.3124442696,43.8058790448
14630035,63519,Willowdale (24),24,NO24,Ward,CITW,5,-79.3785138138,43.79238916
14630029,63519,Scarborough-Agincourt (40),40,EA40,Ward,CITW,6,-79.3050071041,43.7777819695
14630036,63519,Don Valley East (33),33,NO33,Ward,CITW,7,-79.3471711242,43.7815156714
14630037,63519,Willowdale (23),23,NO23,Ward,CITW,8,-79.4181824125,43.7724359642
14630039,63519,York West (8),8,NO08,Ward,CITW,9,-79.4967457608,43.7660274904
14630031,63519,Scarborough Centre (38),38,EA38,Ward,CITW,10,-79.2385490905,43.7640160348
14630040,63519,York West (7),7,WE07,Ward,CITW,11,-79.540843957,43.7448990524
14630041,63519,Don Valley East (34),34,NO34,Ward,CITW,12,-79.3290983657,43.745243535
14630010,63519,Don Valley West (25),25,NO25,Ward,CITW,13,-79.3767296283,43.7388129142
14630030,63519,Scarborough East (43),43,EA43,Ward,CITW,14,-79.2029999191,43.7655019605
14630038,63519,York Centre (10),10,NO10,Ward,CITW,15,-79.4480958562,43.761562583
14630043,63519,York Centre (9),9,NO09,Ward,CITW,16,-79.4843937895,43.73690174
14630033,63519,Scarborough Southwest (36),36,EA36,Ward,CITW,17,-79.2438581487,43.7142317207
14630032,63519,Scarborough Centre (37),37,EA37,Ward,CITW,18,-79.2812336496,43.7491528219
14630044,63519,Etobicoke North (1),1,WE01,Ward,CITW,19,-79.5956978957,43.7418001841
14630019,63519,Eglinton-Lawrence (15),15,NO15,Ward,CITW,21,-79.4496734305,43.7120380283
14630034,63519,Scarborough Southwest (35),35,EA35,Ward,CITW,22,-79.2739840986,43.7157609268
14630012,63519,Don Valley West (26),26,NO26,Ward,CITW,23,-79.3496774691,43.7120616377
14630017,63519,York South-Weston (11),11,WE11,Ward,CITW,24,-79.5013701016,43.6872870448
14630045,63519,Etobicoke North (2),2,WE02,Ward,CITW,25,-79.5748623163,43.7069278096
14630015,63519,Toronto-Danforth (29),29,SO29,Ward,CITW,26,-79.3476067551,43.6894768511
14630021,63519,York South-Weston (12),12,WE12,Ward,CITW,28,-79.484960456,43.7034767827
14630016,63519,Beaches-East York (32),32,SO32,Ward,CITW,29,-79.3060909443,43.6731462941
14630013,63519,Beaches-East York (31),31,SO31,Ward,CITW,30,-79.3110579941,43.700396574
14630050,63519,St. Paul's (22),22,SO22,Ward,CITW,31,-79.3962004657,43.6960332291
14630020,63519,St. Paul's (21),21,SO21,Ward,CITW,32,-79.4247739878,43.6893158076
14630052,63519,Toronto-Danforth (30),30,SO30,Ward,CITW,33,-79.3395554406,43.657011836
14630046,63519,Etobicoke Centre (4),4,WE04,Ward,CITW,34,-79.5388277015,43.6763715115
14630051,63519,Toronto Centre-Rosedale (27),27,SO27,Ward,CITW,35,-79.3807168343,43.6738551604
14630056,63519,Davenport (18),18,SO18,Ward,CITW,36,-79.4382335126,43.657136365
14630047,63519,Etobicoke Centre (3),3,WE03,Ward,CITW,38,-79.5715615121,43.6527978259
14630054,63519,Toronto Centre-Rosedale (28),28,SO28,Ward,CITW,39,-79.3720781552,43.6390814067
14630053,63519,Trinity-Spadina (20),20,SO20,Ward,CITW,40,-79.3987898682,43.6546055793
14630048,63519,Etobicoke-Lakeshore (5),5,WE05,Ward,CITW,43,-79.5254414443,43.6343875676
14630049,63519,Etobicoke-Lakeshore (6),6,WE06,Ward,CITW,44,-79.518153511,43.6067971082
14630042,63519,Eglinton-Lawrence (16),16,NO16,Ward,CITW,20,-79.415812234,43.7249214586
14652634,66086,Parkdale-High Park (14),14,SO14,Ward,CITW,329,-79.444339865,43.6454362111
14630023,66052,Parkdale-High Park (13),13,WE13,Ward,CITW,325,-79.4778219839,43.6521302947
14630055,66047,Trinity-Spadina (19),19,SO19,Ward,CITW,321,-79.4165765448,43.6488564374
14653066,66055,Davenport (17),17,WE17,Ward,CITW,326,-79.4502343302,43.6792480812
