app: appliances by owner,Married couples Without children at home: 0.0005659,Married couples With 3 or more children: 0.0005373,Lone Female parent with 1 child: 0.0003319,Common-law couples Without children at home: 0.0002921, 
ard: arts and crafts by dealer,Lone Male parent with 3 or more children: -2.5193863e-06,Lone Male parent with 2 children: -7.4191593e-06,Common-law couples 3 or more children: -1.2096830e-05,Common-law couples 2 children: -2.9488054e-05,Lone Male parent with 1 child: -3.6553208e-05
bab: baby & kid stuff - by owner,Lone Female parent with 1 child: 0.0012193,Married couples With 2 children: 0.0009112,Common-law couples 1 child: 0.0005220,Common-law couples Without children at home: 0.0004668,Common-law couples 3 or more children: 0.0002109
bad: baby & kid stuff - by dealer,Lone Male parent with 3 or more children: -5.3361818e-06,Common-law couples 3 or more children: -1.0489145e-05,Lone Male parent with 2 children: -1.6859461e-05,Common-law couples 2 children: -2.8645950e-05,Common-law couples 1 child: -4.6318155e-05
bik: bicycles - by owner,Common-law couples Without children at home: 0.0014774,Married couples With 1 child: 0.0010439,Married couples With 2 children: 0.0008034,Lone Female parent with 3 or more children: 0.0006761,Lone Female parent with 2 children: 0.0006393
ele: electronics - by owner,Married couples With 3 or more children: 0.0018243,Married couples With 1 child: 0.0011376,Common-law couples Without children at home: 0.0009319,Common-law couples 1 child: 0.0005746,Lone Female parent with 1 child: 0.0002852
fuo: furniture - by owner,Common-law couples 1 child: 0.0017035,Common-law couples Without children at home: 0.0013332,Common-law couples 2 children: 0.0012387,Married couples With 2 children: 0.0006359,Common-law couples 3 or more children: 0.0005847
hvo: heavy equipment - by owner,Lone Male parent with 3 or more children: -6.4316344e-06,Lone Male parent with 2 children: -1.1639197e-05,Common-law couples 3 or more children: -1.8321147e-05,Lone Female parent with 3 or more children: -3.1510544e-05,Common-law couples 2 children: -3.1620866e-05
jwl: jewelry - by owner,Married couples Without children at home: 0.0011732,Lone Female parent with 3 or more children: 0.0010359,Lone Female parent with 2 children: 0.0005543,Lone Female parent with 1 child: 0.0005173,Lone Male parent with 2 children: 0.0001098
ppd: appliances by dealer,Married couples Without children at home: 0.0022023,Married couples With 2 children: 0.0005272,Married couples With 1 child: 0.0003075,Lone Male parent with 3 or more children: -5.4529971e-05,Common-law couples 3 or more children: -0.0001799
tag: toys and games by owner,Lone Female parent with 1 child: 0.0016032,Common-law couples 1 child: 0.0009276,Common-law couples Without children at home: 0.0005487,Common-law couples 2 children: 0.0005268,Married couples With 2 children: 0.0004390
vgm: video gaming by owner,Married couples With 1 child: 0.0005799,Common-law couples Without children at home: 0.0004962,Married couples With 3 or more children: 0.0002131,Married couples Without children at home: 5.8629050e-05,Common-law couples 3 or more children: 1.3723266e-05
