app: appliances by owner,0 to 4 years: 0.0005295,30 to 34 years: 0.0005074,40 to 44 years: 0.0004258,45 to 49 years: 0.0003137,80 to 84 years: 0.0001726
ard: arts and crafts by dealer,85 years and over: -5.8726673e-05,80 to 84 years: -7.1856150e-05,75 to 79 years: -9.6436565e-05,70 to 74 years: -0.0001135,65 to 69 years: -0.0001462
art: arts & crafts - by owner,35 to 39 years: 0.0006447,20 to 24 years: 0.0006409,40 to 44 years: 0.0006190,60 to 64 years: 0.0005229,55 to 59 years: 0.0001495
atd: antiques - by dealer,85 years and over: -3.4176115e-05,80 to 84 years: -4.6770918e-05,75 to 79 years: -6.5499273e-05,70 to 74 years: -8.8269213e-05,65 to 69 years: -0.0001093
atq: antiques - by owner,65 to 69 years: 0.0008197,50 to 54 years: 0.0007362,35 to 39 years: 0.0007108,70 to 74 years: 0.0006456,30 to 34 years: 0.0006347
bab: baby & kid stuff - by owner,30 to 34 years: 0.0010035,55 to 59 years: 0.0006739,85 years and over: 0.0006545,0 to 4 years: 0.0005052,5 to 9 years: 0.0004902
bad: baby & kid stuff - by dealer,85 years and over: -4.8907753e-05,80 to 84 years: -6.8456668e-05,75 to 79 years: -9.8331799e-05,70 to 74 years: -0.0001297,65 to 69 years: -0.0001702
bar: barter,85 years and over: -8.4964455e-05,80 to 84 years: -0.0001057,75 to 79 years: -0.0001441,70 to 74 years: -0.0001699,65 to 69 years: -0.0002116
bdp: bicycle parts - by dealer,50 to 54 years: 2.3803511e-05,55 to 59 years: 4.0463586e-06,60 to 64 years: -2.3658422e-06,65 to 69 years: -7.7618148e-06,70 to 74 years: -1.9872702e-05
bfd: business/commercial - by dealer,20 to 24 years: 0.0010261,0 to 4 years: 0.0007167,5 to 9 years: 0.0005238,10 to 14 years: 0.0004476,15 to 19 years: 0.0002862
bfs: business/commercial - by owner,10 to 14 years: 0.0006746,50 to 54 years: 0.0006118,80 to 84 years: 0.0004955,30 to 34 years: 0.0004806,20 to 24 years: 0.0003697
bid: bicycles - by dealer,30 to 34 years: 0.0003278,50 to 54 years: 0.0002722,85 years and over: 0.0001979,80 to 84 years: 0.0001407,55 to 59 years: 0.0001111
bik: bicycles - by owner,60 to 64 years: 0.0017121,35 to 39 years: 0.0010523,55 to 59 years: 0.0010076,65 to 69 years: 0.0009485,15 to 19 years: 0.0008651
bkd: books & magazines - by dealer,85 years and over: -5.6357345e-05,80 to 84 years: -6.9004385e-05,75 to 79 years: -8.7021494e-05,70 to 74 years: -9.9839874e-05,65 to 69 years: -0.0001212
bks: books & magazines - by owner,40 to 44 years: 0.0019337,5 to 9 years: 0.0007056,45 to 49 years: 0.0006681,25 to 29 years: 0.0005022,20 to 24 years: 0.0004901
boa: boats - by owner,50 to 54 years: 5.6950491e-05,55 to 59 years: 5.0686968e-05,60 to 64 years: 4.9822354e-05,45 to 49 years: 3.2152486e-05,70 to 74 years: 1.4520341e-05
bod: boats - by dealer,10 to 14 years: 0.0001078,15 to 19 years: 8.9737208e-05,5 to 9 years: 6.5489138e-05,0 to 4 years: 2.4339079e-05,75 to 79 years: 1.8548504e-05
bop: bicycle parts - by owner,35 to 39 years: 0.0008060,30 to 34 years: 0.0005249,50 to 54 years: 0.0003958,55 to 59 years: 0.0002495,40 to 44 years: 0.0002396
bpo: boat parts - by owner,45 to 49 years: 0.0003718,25 to 29 years: 0.0002701,20 to 24 years: 0.0002360,30 to 34 years: 0.0002114,55 to 59 years: 0.0002081
cbd: collectibles - by dealer,50 to 54 years: 5.7932480e-05,55 to 59 years: 1.4243549e-05,60 to 64 years: -6.5023382e-06,45 to 49 years: -1.3497051e-05,65 to 69 years: -1.3538855e-05
cld: clothing and accessories by dealer,35 to 39 years: 0.0032176,40 to 44 years: 0.0028819,45 to 49 years: 0.0023974,55 to 59 years: 0.0012451,0 to 4 years: 0.0009141
clo: clothing and accessories by owner,50 to 54 years: 0.0007898,30 to 34 years: 0.0006272,25 to 29 years: 0.0006233,0 to 4 years: 0.0005477,55 to 59 years: 0.0005118
clt: collectibles - by owner,35 to 39 years: 0.0012390,70 to 74 years: 0.0010114,40 to 44 years: 0.0009200,15 to 19 years: 0.0004597,75 to 79 years: 0.0004201
ctd: cars & trucks - by dealer,0 to 4 years: 0.0010399,10 to 14 years: 0.0009837,15 to 19 years: 0.0008711,20 to 24 years: 0.0007529,5 to 9 years: 0.0006534
cto: cars & trucks - by owner,0 to 4 years: 0.0002101,20 to 24 years: 0.0002005,30 to 34 years: 0.0001788,25 to 29 years: 0.0001750,40 to 44 years: 0.0001739
eld: electronics - by dealer,45 to 49 years: 0.0021365,75 to 79 years: 0.0015656,20 to 24 years: 0.0011863,0 to 4 years: 0.0010378,80 to 84 years: 0.0010297
ele: electronics - by owner,85 years and over: 0.0021424,40 to 44 years: 0.0007598,0 to 4 years: 0.0006634,25 to 29 years: 0.0006538,35 to 39 years: 0.0006089
emd: cds / dvds / vhs - by owner,85 years and over: 0.0012837,40 to 44 years: 0.0008295,35 to 39 years: 0.0005854,60 to 64 years: 0.0003712,55 to 59 years: 0.0002921
emq: cds / dvds / vhs - by dealer,0 to 4 years: 8.9241331e-05,5 to 9 years: 7.3929028e-05,40 to 44 years: 7.4313983e-06,85 years and over: -1.3159999e-05,10 to 14 years: -1.9048973e-05
fod: general for sale - by dealer,35 to 39 years: 0.0006804,0 to 4 years: 0.0005423,40 to 44 years: 0.0004481,30 to 34 years: 0.0003840,5 to 9 years: 0.0001554
for: general for sale by owner,5 to 9 years: 0.0031926,60 to 64 years: 0.0017672,55 to 59 years: 0.0009428,35 to 39 years: 0.0008664,65 to 69 years: 0.0005873
